page_file,js_count,api_count,table_count,js_assets,apis,tables
nod.php,5,19,38,assets/js/config/filter-colors.js; assets/js/config/phase-colors.js; assets/js/lib/artcc-hierarchy.js; assets/js/nod-demand-layer.js; assets/js/nod.js,api/adl/current.php; api/adl/demand/batch.php; api/adl/demand/details.php; api/adl/demand/monitors.php; api/adl/waypoints.php; api/jatoc/incidents.php; api/nod/advisories.php; api/nod/discord.php; api/nod/fea.php; api/nod/flows/configs.php; api/nod/flows/elements.php; api/nod/flows/gates.php; api/nod/flows/suggestions.php; api/nod/jatoc.php; api/nod/tmi_active.php; api/nod/tmu_oplevel.php; api/nod/tracks.php; api/simulator/navdata.php; api/splits/active.php,dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_position; dbo.adl_flight_times; dbo.adl_flight_tmi; dbo.adl_flight_waypoints; dbo.adl_flights_history; dbo.airway_segments; dbo.airways; dbo.apts; dbo.coded_departure_routes; dbo.dcc_advisories; dbo.dcc_discord_tmi; dbo.demand_monitors; dbo.facility_flow_configs; dbo.facility_flow_elements; dbo.facility_flow_gates; dbo.fn_AirwayDemandBucketed; dbo.fn_AirwaySegmentDemandBucketed; dbo.fn_BatchDemandBucketed; dbo.fn_ViaDemandBucketed; dbo.gdp_log; dbo.jatoc_incident_updates; dbo.jatoc_incidents; dbo.jatoc_ops_level; dbo.nav_fixes; dbo.nav_procedure_legs; dbo.nav_procedures; dbo.playbook_routes; dbo.tmi_entries; dbo.tmi_programs; dbo.tmi_reroute_routes; dbo.tmi_reroutes; dbo.vw_tmi_current_delays; nav_fixes; p_plans; splits_configs; splits_positions
gdt.php,8,43,36,assets/js/advisory-config.js; assets/js/config/phase-colors.js; assets/js/config/rate-colors.js; assets/js/demand.js; assets/js/fir-integration.js; assets/js/fir-scope.js; assets/js/gdp.js; assets/js/gdt.js,api/adl/current.php; api/adl/stats.php; api/demand/active_config.php; api/demand/airport.php; api/demand/airports.php; api/demand/atis.php; api/demand/rates.php; api/demand/scheduled_configs.php; api/demand/summary.php; api/demand/tmi_programs.php; api/gdt/demand/hourly.php; api/gdt/flights/list.php; api/gdt/programs/activate.php; api/gdt/programs/active.php; api/gdt/programs/cancel.php; api/gdt/programs/compress.php; api/gdt/programs/create.php; api/gdt/programs/extend.php; api/gdt/programs/fairness.php; api/gdt/programs/get.php; api/gdt/programs/list.php; api/gdt/programs/model.php; api/gdt/programs/purge.php; api/gdt/programs/reoptimize.php; api/gdt/programs/revise.php; api/gdt/programs/simulate.php; api/gdt/programs/transition.php; api/mgt/tmi/active.php; api/mgt/tmi/airport_configs.php; api/mgt/tmi/publish.php; api/tiers.php; api/tiers/query.php; api/tmi/gdp_preview.php; api/tmi/gdp_purge_local.php; api/tmi/gdp_simulate.php; api/tmi/gs_apply.php; api/tmi/gs_apply_ctd.php; api/tmi/gs_preview.php; api/tmi/gs_purge_all.php; api/tmi/gs_purge_local.php; api/tmi/gs_simulate.php; api/tmi/programs.php; api/tmi/simtraffic_flight.php,dbo.adl_flight_changelog; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_times; dbo.adl_flight_tmi; dbo.adl_flights; dbo.adl_flights_gdp; dbo.adl_flights_gs; dbo.adl_slots_gdp; dbo.airports; dbo.apts; dbo.artcc_facilities; dbo.artcc_tier_group_members; dbo.artcc_tier_groups; dbo.artcc_tier_types; dbo.facility_tier_config_members; dbo.facility_tier_configs; dbo.gdp_log; dbo.swim_flights; dbo.tmi_advisories; dbo.tmi_discord_posts; dbo.tmi_entries; dbo.tmi_events; dbo.tmi_flight_control; dbo.tmi_flight_list; dbo.tmi_program_coordination_log; dbo.tmi_programs; dbo.tmi_public_routes; dbo.tmi_reroutes; dbo.tmi_slots; dbo.vw_adl_flights; dbo.vw_airport_config_rates; dbo.vw_airport_config_summary; dbo.vw_current_airport_config; dbo.vw_current_runways_in_use; dbo.vw_effective_atis
review.php,7,28,34,assets/js/config/filter-colors.js; assets/js/config/phase-colors.js; assets/js/demand.js; assets/js/review.js; assets/js/statsim_rates.js; assets/js/tmi_compliance.js; assets/js/tmr_report.js,api/adl/airway.php; api/analysis/tmi_compliance.php; api/analysis/tmi_config.php; api/analysis/trajectory_gaps.php; api/data/review/tmr_export.php; api/data/review/tmr_ops_plan.php; api/data/review/tmr_parse_ntml.php; api/data/review/tmr_report.php; api/data/review/tmr_staffing.php; api/data/review/tmr_tmis.php; api/data/review/tmr_weather.php; api/demand/active_config.php; api/demand/airport.php; api/demand/airports.php; api/demand/atis.php; api/demand/rates.php; api/demand/scheduled_configs.php; api/demand/summary.php; api/demand/tmi_programs.php; api/gis/boundaries.php; api/gis/track_density.php; api/mgt/tmi/active.php; api/mgt/tmi/airport_configs.php; api/mgt/tmi/publish.php; api/statsim/fetch.php; api/statsim/plan_info.php; api/statsim/save_rates.php; api/tiers.php,adl_flight_core; dbo.airway_segments; dbo.airways; dbo.apts; dbo.artcc_facilities; dbo.artcc_tier_group_members; dbo.artcc_tier_groups; dbo.artcc_tier_types; dbo.facility_tier_config_members; dbo.facility_tier_configs; dbo.r_airport_totals; dbo.r_hourly_rates; dbo.tmi_advisories; dbo.tmi_discord_posts; dbo.tmi_entries; dbo.tmi_programs; dbo.tmi_public_routes; dbo.tmi_reroutes; dbo.vw_adl_flights; dbo.vw_airport_config_rates; dbo.vw_airport_config_summary; dbo.vw_current_airport_config; dbo.vw_current_runways_in_use; dbo.vw_effective_atis; p_configs; p_dcc_staffing; p_enroute_init_timeline; p_enroute_staffing; p_op_goals; p_plans; p_terminal_init; p_terminal_init_timeline; p_terminal_staffing; r_tmr_reports
tmi-publish.php,5,17,30,assets/js/advisory-config.js; assets/js/facility-hierarchy.js; assets/js/tmi-active-display.js; assets/js/tmi-gdp.js; assets/js/tmi-publish.js,api/cron.php; api/gdt/programs/cancel.php; api/gdt/programs/flight_list.php; api/gdt/programs/publish.php; api/gdt/programs/submit_proposal.php; api/mgt/plan/get.php; api/mgt/tmi/active.php; api/mgt/tmi/advisory-number.php; api/mgt/tmi/airport_configs.php; api/mgt/tmi/cancel.php; api/mgt/tmi/coordinate.php; api/mgt/tmi/edit.php; api/mgt/tmi/promote.php; api/mgt/tmi/publish.php; api/mgt/tmi/reroute-drafts.php; api/mgt/tmi/staged.php; api/util/icao_lookup.php,dbo.apts; dbo.tmi_advisories; dbo.tmi_coordination_log; dbo.tmi_discord_posts; dbo.tmi_entries; dbo.tmi_events; dbo.tmi_flight_control; dbo.tmi_flight_list; dbo.tmi_program_coordination_log; dbo.tmi_programs; dbo.tmi_proposal_facilities; dbo.tmi_proposal_reactions; dbo.tmi_proposals; dbo.tmi_public_routes; dbo.tmi_reroute_drafts; dbo.tmi_reroute_routes; dbo.tmi_reroutes; dbo.vw_airport_config_rates; dbo.vw_airport_config_summary; dbo.vw_reroute_drafts_active; p_dcc_staffing; p_enroute_constraints; p_enroute_init; p_enroute_init_timeline; p_group_flights; p_op_goals; p_plans; p_terminal_constraints; p_terminal_init; p_terminal_init_timeline
ctp.php,1,25,20,assets/js/ctp.js,api/ctp/audit_log.php; api/ctp/boundaries.php; api/ctp/changelog.php; api/ctp/demand.php; api/ctp/flights/assign_edct.php; api/ctp/flights/assign_edct_batch.php; api/ctp/flights/compliance.php; api/ctp/flights/detect.php; api/ctp/flights/exclude.php; api/ctp/flights/get.php; api/ctp/flights/list.php; api/ctp/flights/modify_route.php; api/ctp/flights/remove_edct.php; api/ctp/flights/routes_geojson.php; api/ctp/flights/validate_route.php; api/ctp/routes/suggest.php; api/ctp/routes/templates.php; api/ctp/sessions/activate.php; api/ctp/sessions/complete.php; api/ctp/sessions/create.php; api/ctp/sessions/get.php; api/ctp/sessions/list.php; api/ctp/sessions/update.php; api/ctp/stats.php; api/data/playbook/nat_tracks.php,dbo.adl_boundary; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_planned_crossings; dbo.adl_flight_position; dbo.adl_flight_times; dbo.coded_departure_routes; dbo.ctp_audit_log; dbo.ctp_flight_control; dbo.ctp_route_templates; dbo.ctp_sessions; dbo.nav_fixes; dbo.tmi_flight_control; dbo.tmi_flow_event_participants; dbo.tmi_flow_events; dbo.tmi_public_routes; dbo.tmi_reroute_routes; dbo.tmi_reroutes; playbook_plays; playbook_routes
demand.php,4,12,19,assets/js/config/filter-colors.js; assets/js/config/phase-colors.js; assets/js/config/rate-colors.js; assets/js/demand.js,api/demand/active_config.php; api/demand/airport.php; api/demand/airports.php; api/demand/atis.php; api/demand/rates.php; api/demand/scheduled_configs.php; api/demand/summary.php; api/demand/tmi_programs.php; api/mgt/tmi/active.php; api/mgt/tmi/airport_configs.php; api/mgt/tmi/publish.php; api/tiers.php,dbo.apts; dbo.artcc_facilities; dbo.artcc_tier_group_members; dbo.artcc_tier_groups; dbo.artcc_tier_types; dbo.facility_tier_config_members; dbo.facility_tier_configs; dbo.tmi_advisories; dbo.tmi_discord_posts; dbo.tmi_entries; dbo.tmi_programs; dbo.tmi_public_routes; dbo.tmi_reroutes; dbo.vw_adl_flights; dbo.vw_airport_config_rates; dbo.vw_airport_config_summary; dbo.vw_current_airport_config; dbo.vw_current_runways_in_use; dbo.vw_effective_atis
playbook.php,9,18,12,assets/js/awys.js; assets/js/lib/artcc-hierarchy.js; assets/js/lib/route-advisory-parser.js; assets/js/playbook-cdr-search.js; assets/js/playbook-dcc-loader.js; assets/js/playbook.js; assets/js/procs_enhanced.js; assets/js/route-maplibre.js; assets/js/route-symbology.js,api/adl/current.php; api/data/playbook/acl.php; api/data/playbook/analysis.php; api/data/playbook/categories.php; api/data/playbook/changelog.php; api/data/playbook/get.php; api/data/playbook/groups.php; api/data/playbook/list.php; api/data/playbook/nat_tracks.php; api/data/playbook/org_members.php; api/data/playbook/orgs.php; api/data/playbook/user_search.php; api/data/route_share.php; api/mgt/playbook/acl.php; api/mgt/playbook/delete.php; api/mgt/playbook/groups.php; api/mgt/playbook/save.php; api/mgt/tmi/reroutes/update_geojson.php,dbo.ctp_route_templates; dbo.public_routes; nav_fixes; organizations; playbook_changelog; playbook_play_acl; playbook_plays; playbook_route_groups; playbook_routes; sector_boundaries; tracon_boundaries; user_orgs
plan.php,6,5,7,assets/js/advisory-config.js; assets/js/config/facility-roles.js; assets/js/initiative_timeline.js; assets/js/plan-splits-map.js; assets/js/plan-tables.js; assets/js/plan.js,api/data/plans/enroute_inits_timeline.php; api/data/plans/term_inits_timeline.php; api/demand/config_search.php; api/mgt/tmi/advisory-number.php; api/splits/active.php,dbo.vw_airport_config_rates; dbo.vw_airport_config_summary; p_enroute_init_timeline; p_plans; p_terminal_init_timeline; splits_configs; splits_positions
splits.php,2,6,6,assets/js/lib/artcc-labels.js; assets/js/splits.js,api/splits/active.php; api/splits/areas.php; api/splits/configs.php; api/splits/presets.php; api/splits/scheduled.php; api/splits/tracons.php,dbo.splits_preset_positions; dbo.splits_presets; dbo.tracons; splits_areas; splits_configs; splits_positions
cdm.php,1,1,6,assets/js/cdm.js,api/data/cdm/status.php,dbo.cdm_airport_status; dbo.cdm_compliance_live; dbo.cdm_messages; dbo.tmi_programs; dbo.vw_cdm_at_risk_flights; dbo.vw_cdm_current_readiness
route.php,11,8,5,assets/js/awys.js; assets/js/config/filter-colors.js; assets/js/config/phase-colors.js; assets/js/lib/artcc-hierarchy.js; assets/js/lib/route-advisory-parser.js; assets/js/playbook-cdr-search.js; assets/js/playbook-dcc-loader.js; assets/js/procs_enhanced.js; assets/js/public-routes.js; assets/js/route-maplibre.js; assets/js/route-symbology.js,api/adl/current.php; api/adl/stats.php; api/data/playbook/analysis.php; api/data/playbook/get.php; api/data/playbook/list.php; api/data/playbook/nat_tracks.php; api/data/route_share.php; api/mgt/tmi/reroutes/update_geojson.php,dbo.ctp_route_templates; dbo.public_routes; nav_fixes; playbook_plays; playbook_routes
data.php,3,2,4,assets/js/plan-splits-map.js; assets/js/plan-tables.js; assets/js/sheet.js,api/demand/config_search.php; api/splits/active.php,dbo.vw_airport_config_rates; dbo.vw_airport_config_summary; splits_configs; splits_positions
event-aar.php,0,2,3,,api/event-aar/list.php; api/event-aar/update.php,dbo.vatusa_event; dbo.vatusa_event_airport; dbo.vatusa_event_hourly
sheet.php,1,1,2,assets/js/sheet.js,api/demand/config_search.php,dbo.vw_airport_config_rates; dbo.vw_airport_config_summary
sua.php,2,8,1,assets/js/lib/artcc-hierarchy.js; assets/js/sua.js,api/data/sua/activations.l.php; api/data/sua/sua_geojson.php; api/data/sua/sua_list.php; api/mgt/sua/activate.php; api/mgt/sua/altrv_create.php; api/mgt/sua/delete.php; api/mgt/sua/tfr_create.php; api/mgt/sua/update.php,sua_activations
airport_config.php,0,1,1,,api/util/icao_lookup.php,dbo.apts
hibernation.php,0,1,1,,api/data/hibernation_stats.php,hibernation_hits
status.php,1,1,1,assets/js/config/phase-colors.js,api/stats/flight_phase_history.php,dbo.flight_phase_snapshot
jatoc.php,4,1,0,assets/js/config/facility-roles.js; assets/js/jatoc-facility-patch.js; assets/js/jatoc.js; assets/js/lib/artcc-hierarchy.js,api/jatoc/report.php,
navdata.php,1,0,0,assets/js/navdata.js,,
schedule.php,1,0,0,assets/js/schedule.js,,
