table_base,variants,code_ref_count,doc_wiki_ref_count,sample_code_refs,sample_doc_wiki_refs
swim_playbook_routes,dbo.swim_playbook_routes,3,0,api/swim/v1/playbook/plays.php; database/migrations/swim/025_swim_refdata_tables.sql; scripts/swim_refdata_sync.php,
tmi_advisory_sequences,dbo.tmi_advisory_sequences,3,2,api/tmi/AdvisoryNumber.php; database/migrations/tmi/001_tmi_core_schema_azure_sql.sql; database/migrations/tmi/cleanup_test_data.sql,docs/COMPUTATIONAL_REFERENCE.md; docs/tmi/DATABASE.md
tmi_flow_event_participants,dbo.tmi_flow_event_participants,3,0,api/ctp/flights/detect.php; api/swim/v1/tmi/flow/events.php; api/swim/v1/tmi/flow/index.php,
tmi_proposal_reactions,dbo.tmi_proposal_reactions,3,0,api/mgt/tmi/coordinate.php; cron/process_tmi_proposals.php; database/migrations/tmi/cleanup_test_data.sql,
tmi_reroute_compliance_log,dbo.tmi_reroute_compliance_log; tmi_reroute_compliance_log,3,10,api/mgt/tmi/reroutes/bulk.php; api/swim/v1/tmi/reroutes.php; database/migrations/tmi/cleanup_test_data.sql,docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/fmds-comparison.md; docs/tmi/ARCHITECTURE.md; docs/tmi/COST_ANALYSIS.md; docs/tmi/DATABASE.md; docs/tmi/README.md; wiki/Database-Schema.md; wiki/FMDS-Comparison.md; wiki/Navigation-Helper.md
adl_changelog_batch,dbo.adl_changelog_batch,2,0,adl/migrations/changelog/000_deploy_changelog_system.sql; adl/migrations/changelog/006_utility_procedures.sql,
adl_region_group_members,dbo.adl_region_group_members,2,0,adl/migrations/crossings/003_populate_priority_region.sql; adl/migrations/crossings/DEPLOY_ALL_CROSSINGS.sql,
adl_run_log,dbo.adl_run_log,2,3,api/adl/diagnostic.php; database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql,wiki/Algorithm-Data-Refresh.md; wiki/Algorithm-ETA-Calculation.md; wiki/Algorithm-Zone-Detection.md
adl_trajectory_compressed,dbo.adl_trajectory_compressed,2,0,api/analysis/escape_desert_archive.php; scripts/archival_daemon.php,
airport_grouping,dbo.airport_grouping,2,0,adl/migrations/stats/006_airport_groupings.sql; adl/migrations/stats/008_apts_military_columns.sql,
airport_grouping_member,dbo.airport_grouping_member,2,0,adl/migrations/stats/006_airport_groupings.sql; adl/migrations/stats/008_apts_military_columns.sql,
airport_taxi_reference_detail,dbo.airport_taxi_reference_detail,2,0,adl/migrations/oooi/010_airport_taxi_reference.sql; api/swim/v1/reference/taxi-times.php,
cdm_pilot_readiness,dbo.cdm_pilot_readiness,2,0,database/migrations/tmi/040_cdm_core_schema.sql; load/services/CDMService.php,
cdm_trigger_log,dbo.cdm_trigger_log,2,0,database/migrations/tmi/040_cdm_core_schema.sql; scripts/cdm_daemon.php,
dcc_discord_tmi,dbo.dcc_discord_tmi,2,0,api/nod/discord.php; load/discord/DiscordWebhookHandler.php,
demand_monitors,dbo.demand_monitors,2,0,api/adl/demand/monitors.php; api/nod/fea.php,
detected_runway_config,dbo.detected_runway_config,2,0,adl/migrations/090_detected_runway_config.sql; adl/migrations/095_atis_type_priority.sql,
discord_sent_messages,dbo.discord_sent_messages,2,0,api/discord/announcements.php; api/discord/messages.php,
facility_flow_configs,dbo.facility_flow_configs,2,0,api/nod/fea.php; api/nod/flows/configs.php,
facility_flow_gates,dbo.facility_flow_gates,2,0,api/nod/flows/configs.php; api/nod/flows/gates.php,
fact_network_5min,fact_network_5min,2,2,api/stats/load_network_stats.php; database/migrations/vatsim_stats/001_complete_schema.sql,docs/POWERBI_DATAFLOW_UPDATE.md; docs/VATSIM_STATS_DATABASE.md
flight_stats_retention_tiers,dbo.flight_stats_retention_tiers,2,0,adl/migrations/stats/001_flight_stats_schema.sql; adl/migrations/stats/004_flight_stats_trends.sql,
fn_AirwaySegmentDemandBucketed,dbo.fn_AirwaySegmentDemandBucketed,2,1,adl/migrations/demand/debug_waypoints.sql; api/adl/demand/batch.php,docs/COMPUTATIONAL_REFERENCE.md
fn_ParseRouteStepClimbs,dbo.fn_ParseRouteStepClimbs,2,0,adl/migrations/navdata/002_simbrief_parsing.sql; adl/procedures/sp_ParseSimBriefData.sql,
hibernation_hits,hibernation_hits,2,1,api/data/hibernation_stats.php; load/hibernation.php,docs/HIBERNATION_RUNBOOK.md
jatoc_incidents,dbo.jatoc_incidents,2,0,api/nod/jatoc.php; database/migrations/jatoc/004_rename_incident_columns.sql,
jatoc_ops_level,dbo.jatoc_ops_level,2,0,api/nod/jatoc.php; database/migrations/jatoc/001_jatoc_tables.sql,
jatoc_reports,dbo.jatoc_reports,2,0,database/migrations/jatoc/004_rename_incident_columns.sql; database/migrations/jatoc/006_fix_reports_incident_type.sql,
jatoc_sequences,dbo.jatoc_sequences,2,0,database/migrations/jatoc/001_jatoc_tables.sql; database/migrations/jatoc/002_add_incident_numbers.sql,
major_tracon,dbo.major_tracon,2,0,adl/migrations/stats/006_airport_groupings.sql; adl/migrations/stats/008_apts_military_columns.sql,
nav_playbook,dbo.nav_playbook,2,0,api/simulator/routes.php; api/simulator/traffic.php,
r_tmr_reports,r_tmr_reports,2,4,api/data/review/tmr_export.php; api/data/review/tmr_report.php,docs/QUICK_REFERENCE.md; wiki/Architecture.md; wiki/Changelog.md; wiki/Database-Schema.md
ref_artcc_adjacency,dbo.ref_artcc_adjacency,2,1,database/migrations/adl/011_artcc_tier_lookup.sql; database/migrations/adl/013_compute_tmi_tier.sql,docs/plans/2026-02-02-tmi-trajectory.md
ref_major_airports,dbo.ref_major_airports,2,2,adl/migrations/087_atis_tiered_cleanup.sql; adl/migrations/088_airport_groupings_aspm82_opsnet45.sql,docs/plans/2026-02-08-airport-groupings-design.md; docs/plans/2026-02-08-airport-groupings-implementation.md
stats_network_daily,dbo.stats_network_daily; stats_network_daily,2,1,database/migrations/vatsim_stats/001_complete_schema.sql; database/migrations/vatsim_stats/002_migrate_historical_data.sql,docs/VATSIM_STATS_DATABASE.md
swim_acars_messages,dbo.swim_acars_messages,2,0,api/swim/v1/ingest/acars.php; database/migrations/swim/020_swim_acars_messages.sql,
swim_acars_pdc_queue,dbo.swim_acars_pdc_queue,2,0,api/swim/v1/ingest/acars.php; database/migrations/swim/020_swim_acars_messages.sql,
swim_acars_sources,dbo.swim_acars_sources,2,0,api/swim/v1/ingest/acars.php; database/migrations/swim/020_swim_acars_messages.sql,
swim_coded_departure_routes,dbo.swim_coded_departure_routes,2,0,database/migrations/swim/025_swim_refdata_tables.sql; scripts/swim_refdata_sync.php,
swim_controller_log,dbo.swim_controller_log,2,0,database/migrations/swim/024_swim_controllers.sql; scripts/vnas_controller_poll.php,
swim_flight_cache,dbo.swim_flight_cache,2,0,database/migrations/swim/001_swim_tables.sql; scripts/swim_cleanup.php,
tmi_airport_configs,dbo.tmi_airport_configs; tmi_airport_configs,2,8,database/migrations/tmi/034_create_delay_tracking.sql; scripts/tmi/import_historical.php,docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; docs/tmi/ARCHITECTURE.md; docs/tmi/README.md; wiki/Database-Schema.md; wiki/TMI-Historical-Import-Statistics.md
tmi_coordination_log,dbo.tmi_coordination_log,2,0,api/mgt/tmi/coordinate.php; load/coordination_log.php,
tmi_delay_entries,dbo.tmi_delay_entries; tmi_delay_entries,2,9,database/migrations/tmi/034_create_delay_tracking.sql; scripts/tmi/import_historical.php,docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/plans/2026-02-09-nod-tmi-facility-flows-design.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; docs/tmi/ARCHITECTURE.md; docs/tmi/README.md; wiki/Database-Schema.md; wiki/TMI-Historical-Import-Statistics.md
tmi_reroute_drafts,dbo.tmi_reroute_drafts,2,0,api/mgt/tmi/reroute-drafts.php; database/migrations/tmi/025_reroute_drafts.sql,
traffic_baselines,dbo.traffic_baselines; traffic_baselines,2,1,database/migrations/vatsim_stats/001_complete_schema.sql; database/migrations/vatsim_stats/002_migrate_historical_data.sql,docs/VATSIM_STATS_DATABASE.md
vw_cdm_at_risk_flights,dbo.vw_cdm_at_risk_flights,2,0,api/data/cdm/status.php; api/swim/v1/cdm/compliance.php,
vw_current_airport_config,dbo.vw_current_airport_config,2,0,adl/migrations/095_atis_type_priority.sql; api/demand/atis.php,
vw_current_detected_config,dbo.vw_current_detected_config,2,0,adl/migrations/090_detected_runway_config.sql; adl/migrations/091_manual_rate_overrides.sql,
vw_effective_atis,dbo.vw_effective_atis,2,0,adl/migrations/095_atis_type_priority.sql; api/demand/atis.php,
vw_GDT_DemandByHour,dbo.vw_GDT_DemandByHour,2,0,adl/migrations/tmi/test_gs_workflow.sql; api/tmi/gs/demand.php,
vw_tmi_active_advisories,dbo.vw_tmi_active_advisories,2,0,api/swim/v1/tmi/index.php; api/tmi/active.php,
vw_tmi_active_entries,dbo.vw_tmi_active_entries,2,0,api/swim/v1/tmi/index.php; api/tmi/active.php,
vw_tmi_active_flow_events,dbo.vw_tmi_active_flow_events,2,0,api/swim/v1/tmi/flow/index.php; api/swim/v1/tmi/index.php,
vw_tmi_active_flow_measures,dbo.vw_tmi_active_flow_measures,2,0,api/swim/v1/tmi/flow/index.php; api/swim/v1/tmi/index.php,
vw_tmi_active_programs,dbo.vw_tmi_active_programs,2,0,api/swim/v1/tmi/index.php; api/tmi/active.php,
vw_tmi_active_public_routes,dbo.vw_tmi_active_public_routes,2,0,api/swim/v1/tmi/index.php; api/tmi/active.php,
vw_tmi_active_reroutes,dbo.vw_tmi_active_reroutes,2,0,api/swim/v1/tmi/index.php; api/tmi/active.php,
weather_import_log,dbo.weather_import_log,2,0,adl/migrations/weather/001_weather_alerts_schema.sql; adl/migrations/weather/004_fix_weather_polygon_orientation.sql,
wx_wind_grid,dbo.wx_wind_grid,2,0,adl/migrations/navdata/009_wind_data_infrastructure.sql; adl/php/import_wind_data.php,
adl_boundary_import_log,adl_boundary_import_log,1,0,api/adl/import_boundaries.php,
aircraft_performance_apf,dbo.aircraft_performance_apf,1,0,adl/migrations/performance/002_bada_import_infrastructure.sql,
aircraft_performance_opf,dbo.aircraft_performance_opf,1,0,adl/migrations/performance/002_bada_import_infrastructure.sql,
aircraft_performance_ptf,dbo.aircraft_performance_ptf,1,0,adl/migrations/performance/002_bada_import_infrastructure.sql,
airport_connect_reference,dbo.airport_connect_reference,1,0,adl/migrations/oooi/011_airport_connect_reference.sql,
airport_connect_reference_detail,dbo.airport_connect_reference_detail,1,0,adl/migrations/oooi/011_airport_connect_reference.sql,
analog_similarity_matrix,analog_similarity_matrix,1,1,database/migrations/vatsim_stats/001_complete_schema.sql,docs/VATSIM_STATS_DATABASE.md
artcc_adjacencies,dbo.artcc_adjacencies,1,0,adl/migrations/topology/002_artcc_topology_seed.sql,
artcc_tier_matrix,artcc_tier_matrix,1,0,scripts/postgis/012_artcc_tier_matrix.sql,
bada_import_log,dbo.bada_import_log,1,0,adl/migrations/performance/002_bada_import_infrastructure.sql,
bada_import_staging,dbo.bada_import_staging,1,0,adl/migrations/performance/002_bada_import_infrastructure.sql,
cdm_triggers,dbo.cdm_triggers,1,0,scripts/cdm_daemon.php,
cifp_legs_staging,dbo.cifp_legs_staging,1,0,adl/migrations/cifp/002_cifp_import_procedure.sql,
cifp_procedures_staging,dbo.cifp_procedures_staging,1,0,adl/migrations/cifp/002_cifp_import_procedure.sql,
context_events,context_events,1,0,database/migrations/vatsim_stats/001_complete_schema.sql,
daily_feature_vectors,daily_feature_vectors,1,1,database/migrations/vatsim_stats/001_complete_schema.sql,docs/VATSIM_STATS_DATABASE.md
daily_pattern_assignments,daily_pattern_assignments,1,1,database/migrations/vatsim_stats/001_complete_schema.sql,docs/VATSIM_STATS_DATABASE.md
dcc_advisory_sequences,dbo.dcc_advisory_sequences,1,0,database/migrations/advisories/001_dcc_advisories.sql,
discord_channels,dbo.discord_channels,1,0,api/discord/channels.php,
discord_messages,dbo.discord_messages,1,0,load/discord/DiscordWebhookHandler.php,
discord_reactions,dbo.discord_reactions,1,0,load/discord/DiscordWebhookHandler.php,
discord_webhook_log,dbo.discord_webhook_log,1,0,load/discord/DiscordWebhookHandler.php,
event_position_log,dbo.event_position_log,1,0,database/migrations/adl/004_create_event_position_log.sql,
fact_facility_5min,fact_facility_5min,1,1,database/migrations/vatsim_stats/001_complete_schema.sql,docs/VATSIM_STATS_DATABASE.md
fir_pattern_exclusions,dbo.fir_pattern_exclusions,1,0,adl/migrations/tmi/007_gs_model_fir_exclusions.sql,
fir_reference,dbo.fir_reference,1,0,adl/migrations/tmi/005_add_fir_support.sql,
flight_stats_carrier,dbo.flight_stats_carrier,1,0,adl/migrations/stats/004_flight_stats_carrier_domestic.sql,
flight_stats_hourly_patterns,dbo.flight_stats_hourly_patterns,1,0,adl/migrations/stats/004_flight_stats_trends.sql,
flight_stats_weekly,dbo.flight_stats_weekly,1,0,adl/migrations/stats/004_flight_stats_trends.sql,
fn_AirwayDemandBucketed,dbo.fn_AirwayDemandBucketed,1,1,api/adl/demand/batch.php,docs/COMPUTATIONAL_REFERENCE.md
fn_AirwaySegmentDemand,dbo.fn_AirwaySegmentDemand,1,0,api/adl/demand/airway.php,
fn_BatchDemandBucketed,dbo.fn_BatchDemandBucketed,1,1,api/adl/demand/batch.php,docs/COMPUTATIONAL_REFERENCE.md
fn_CalculateRouteDistanceRemaining,dbo.fn_CalculateRouteDistanceRemaining,1,0,adl/procedures/fn_CalculateRouteDistanceRemaining.sql,
fn_DetectCurrentZoneWithDetails,dbo.fn_DetectCurrentZoneWithDetails,1,0,adl/procedures/sp_DetectZoneTransition.sql,
fn_ExpandAirwayNames,dbo.fn_ExpandAirwayNames,1,0,adl/procedures/sp_ParseRoute.sql,
fn_FixDemand,dbo.fn_FixDemand,1,1,api/adl/demand/fix.php,docs/COMPUTATIONAL_REFERENCE.md
fn_GetActiveEventIds,dbo.fn_GetActiveEventIds,1,0,scripts/vatsim_adl_daemon.php,
fn_ParseCoordinate,dbo.fn_ParseCoordinate,1,0,adl/procedures/sp_ParseRoute.sql,
fn_ParseICAORemarks,dbo.fn_ParseICAORemarks,1,0,adl/procedures/sp_ParseSimBriefData.sql,
fn_ResolveFBD,dbo.fn_ResolveFBD,1,0,adl/procedures/sp_ParseRoute.sql,
fn_RouteSegmentDemand,dbo.fn_RouteSegmentDemand,1,1,api/adl/demand/segment.php,docs/COMPUTATIONAL_REFERENCE.md
fn_ViaDemandBucketed,dbo.fn_ViaDemandBucketed,1,1,api/adl/demand/batch.php,docs/COMPUTATIONAL_REFERENCE.md
gov,aviationweather.gov,1,3,adl/php/import_weather_alerts.php,docs/fmds-comparison.md; wiki/Configuration.md; wiki/FMDS-Comparison.md
jatoc_incident_updates,dbo.jatoc_incident_updates,1,0,api/nod/jatoc.php,
jatoc_personnel,dbo.jatoc_personnel,1,0,database/migrations/jatoc/001_jatoc_tables.sql,
jatoc_user_roles,dbo.jatoc_user_roles,1,0,api/jatoc/auth.php,
military_ownership_codes,dbo.military_ownership_codes,1,0,adl/migrations/stats/008_apts_military_columns.sql,
military_service_codes,dbo.military_service_codes,1,0,adl/migrations/stats/008_apts_military_columns.sql,
net,Statsim.net,1,0,adl/migrations/stats/005_vatusa_event_stats.sql,
nod_advisories,dbo.nod_advisories,1,0,database/migrations/advisories/002_nod_advisories.sql,
nod_advisory_sequences,dbo.nod_advisory_sequences,1,0,database/migrations/advisories/002_nod_advisories.sql,
org_roles,org_roles,1,0,database/migrations/org/011_org_roles.sql,
parent_artcc,NEW.parent_artcc,1,0,database/migrations/postgis/003_airports_table.sql,
parent_tracon,NEW.parent_tracon,1,0,database/migrations/postgis/003_airports_table.sql,
pattern_archetypes,pattern_archetypes,1,1,database/migrations/vatsim_stats/001_complete_schema.sql,docs/VATSIM_STATS_DATABASE.md
pattern_clusters,pattern_clusters,1,1,database/migrations/vatsim_stats/001_complete_schema.sql,docs/VATSIM_STATS_DATABASE.md
playbook_route_throughput,playbook_route_throughput,1,1,api/swim/v1/playbook/throughput.php,docs/superpowers/specs/2026-03-12-ctp-e26-integration-design.md
r_airport_totals,dbo.r_airport_totals,1,0,api/statsim/save_rates.php,
r_hourly_rates,dbo.r_hourly_rates,1,0,api/statsim/save_rates.php,
Running_VATSIM_Data_2,dbo.Running_VATSIM_Data_2,1,1,database/migrations/vatsim_stats/002_migrate_historical_data.sql,docs/POWERBI_DATAFLOW_UPDATE.md
runway_heading_ref,dbo.runway_heading_ref,1,0,adl/migrations/090_detected_runway_config.sql,
scheduler_state,dbo.scheduler_state,1,0,database/migrations/schema/009_scheduler_state.sql,
sim_ref_airport_demand,dbo.sim_ref_airport_demand,1,0,api/simulator/traffic.php,
sim_ref_carrier_lookup,dbo.sim_ref_carrier_lookup,1,0,api/simulator/traffic.php,
sim_ref_route_patterns,dbo.sim_ref_route_patterns,1,0,api/simulator/traffic.php,
splits_preset_positions,dbo.splits_preset_positions,1,0,api/splits/presets.php,
splits_presets,dbo.splits_presets,1,0,api/splits/presets.php,
spt_values,dbo.spt_values,1,0,adl/migrations/boundaries/009_boundary_grid_lookup.sql,
stats_job_config,stats_job_config,1,0,database/migrations/vatsim_stats/001_complete_schema.sql,
stats_job_run_log,stats_job_run_log,1,0,database/migrations/vatsim_stats/001_complete_schema.sql,
stats_network_hourly,stats_network_hourly,1,1,database/migrations/vatsim_stats/001_complete_schema.sql,docs/VATSIM_STATS_DATABASE.md
stats_network_monthly,dbo.stats_network_monthly; stats_network_monthly,1,1,database/migrations/vatsim_stats/002_migrate_historical_data.sql,docs/VATSIM_STATS_DATABASE.md
stats_network_yearly,dbo.stats_network_yearly; stats_network_yearly,1,1,database/migrations/vatsim_stats/002_migrate_historical_data.sql,docs/VATSIM_STATS_DATABASE.md
stats_retention_config,stats_retention_config,1,0,database/migrations/vatsim_stats/001_complete_schema.sql,
swim_cdm_compliance_live,dbo.swim_cdm_compliance_live,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_cdm_messages,dbo.swim_cdm_messages,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_cdm_pilot_readiness,dbo.swim_cdm_pilot_readiness,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_handoff_log,dbo.swim_handoff_log,1,0,api/swim/v1/ingest/vnas/handoff.php,
swim_ntml,dbo.swim_ntml,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_subscriptions,dbo.swim_subscriptions,1,1,scripts/swim_cleanup.php,docs/swim/VATSWIM_API_Documentation.md
swim_sync_watermarks,dbo.swim_sync_watermarks,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_tmi_advisories,dbo.swim_tmi_advisories,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_tmi_entries,dbo.swim_tmi_entries,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_tmi_flow_events,dbo.swim_tmi_flow_events,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_tmi_flow_measures,dbo.swim_tmi_flow_measures,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_tmi_flow_providers,dbo.swim_tmi_flow_providers,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_tmi_public_routes,dbo.swim_tmi_public_routes,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_tmi_reroutes,dbo.swim_tmi_reroutes,1,0,database/migrations/swim/026_swim_data_isolation.sql,
swim_users,swim_users,1,1,login/callback.php,docs/DEPLOYMENT_GUIDE.md
swim_webhook_deliveries,dbo.swim_webhook_deliveries,1,0,scripts/swim_cleanup.php,
table_name,dbo.table_name,1,0,scripts/indexer/run_indexer.php,
tmi_advisory_sequence,dbo.tmi_advisory_sequence,1,0,adl/migrations/tmi/011_reroute_routes_table.sql,
tracons,dbo.tracons,1,0,api/splits/tracons.php,
trigger,tmr.trigger,1,2,review.php,docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md
v_archive_stats,dbo.v_archive_stats,1,0,database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql,
v_daily_flight_summary,dbo.v_daily_flight_summary,1,0,scripts/adl_archive/synapse/03_create_views.sql,
v_trajectory_archive,dbo.v_trajectory_archive,1,0,scripts/adl_archive/synapse/03_create_views.sql,
vw_cdm_pending_messages,dbo.vw_cdm_pending_messages,1,0,load/services/CDMService.php,
vw_current_atis_by_type,dbo.vw_current_atis_by_type,1,0,adl/migrations/095_atis_type_priority.sql,
vw_flight_sector_entries,dbo.vw_flight_sector_entries,1,0,adl/migrations/navdata/007_waypoint_eta_integration.sql,
vw_flight_stats_job_status,dbo.vw_flight_stats_job_status,1,0,api/stats/StatsHelper.php,
vw_flight_stats_recent_runs,dbo.vw_flight_stats_recent_runs,1,0,api/stats/status.php,
vw_flight_stats_retention_active,dbo.vw_flight_stats_retention_active,1,0,api/stats/status.php,
vw_GDT_DemandByQuarter,dbo.vw_GDT_DemandByQuarter,1,0,api/tmi/gs/demand.php,
vw_NTML_Active,dbo.vw_NTML_Active,1,0,adl/migrations/tmi/test_gs_workflow.sql,
vw_NTML_Today,dbo.vw_NTML_Today,1,0,adl/migrations/tmi/test_gs_workflow.sql,
vw_reroute_drafts_active,dbo.vw_reroute_drafts_active,1,0,api/mgt/tmi/reroute-drafts.php,
vw_swim_facility_staffing,dbo.vw_swim_facility_staffing,1,0,api/swim/v1/controllers.php,
vw_tmi_current_delays,dbo.vw_tmi_current_delays,1,0,api/nod/tmi_active.php,
vw_WindTierStats,dbo.vw_WindTierStats,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wind_grid_regions,dbo.wind_grid_regions,1,0,adl/migrations/wind/001_wind_grid_schema.sql,
wind_grid_tier_lookup,dbo.wind_grid_tier_lookup,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wind_major_airports,dbo.wind_major_airports,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wind_regions,dbo.wind_regions,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wind_tier_config,dbo.wind_tier_config,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wx_wind_import_log,dbo.wx_wind_import_log,1,0,adl/php/import_wind_data.php,
xplane_airways_staging,dbo.xplane_airways_staging,1,0,adl/migrations/navdata/004_xplane_navdata_import.sql,
xplane_fixes_staging,dbo.xplane_fixes_staging,1,0,adl/migrations/navdata/004_xplane_navdata_import.sql,
xplane_navaids_staging,dbo.xplane_navaids_staging,1,0,adl/migrations/navdata/004_xplane_navdata_import.sql,
xplane_segments_staging,dbo.xplane_segments_staging,1,0,adl/migrations/navdata/004_xplane_navdata_import.sql,
dim_time,dim_time,0,1,,docs/VATSIM_STATS_DATABASE.md
ntml_slots,dbo.ntml_slots,0,1,,docs/GDT_Unified_Design_Document_v1.md
r_ops_data,r_ops_data,0,4,,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Navigation-Helper.md
stats_aircraft_daily,stats_aircraft_daily,0,1,,docs/VATSIM_STATS_DATABASE.md
stats_airport_daily,stats_airport_daily,0,1,,docs/VATSIM_STATS_DATABASE.md
stats_carrier_daily,stats_carrier_daily,0,1,,docs/VATSIM_STATS_DATABASE.md
stats_facility_daily,stats_facility_daily,0,1,,docs/VATSIM_STATS_DATABASE.md
stats_network_weekly,stats_network_weekly,0,1,,docs/VATSIM_STATS_DATABASE.md
swim_ground_stops,dbo.swim_ground_stops,0,1,,docs/swim/VATSWIM_Release_Documentation.md
swim_webhook_endpoints,dbo.swim_webhook_endpoints,0,1,,docs/swim/VATSWIM_API_Documentation.md
