source_file,connection_symbol
api/adl/airway.php,get_conn_gis
api/adl/airway.php,get_conn_ref
api/ctp/audit_log.php,get_conn_tmi
api/ctp/boundaries.php,get_conn_adl
api/ctp/changelog.php,get_conn_tmi
api/ctp/common.php,get_conn_adl
api/ctp/common.php,get_conn_gis
api/ctp/common.php,get_conn_tmi
api/ctp/demand.php,get_conn_tmi
api/ctp/flights/assign_edct.php,get_conn_tmi
api/ctp/flights/assign_edct_batch.php,get_conn_tmi
api/ctp/flights/compliance.php,get_conn_adl
api/ctp/flights/compliance.php,get_conn_tmi
api/ctp/flights/detect.php,get_conn_adl
api/ctp/flights/detect.php,get_conn_tmi
api/ctp/flights/exclude.php,get_conn_tmi
api/ctp/flights/get.php,get_conn_adl
api/ctp/flights/get.php,get_conn_tmi
api/ctp/flights/list.php,get_conn_tmi
api/ctp/flights/modify_route.php,get_conn_gis
api/ctp/flights/modify_route.php,get_conn_tmi
api/ctp/flights/remove_edct.php,get_conn_tmi
api/ctp/flights/routes_geojson.php,get_conn_adl
api/ctp/flights/routes_geojson.php,get_conn_tmi
api/ctp/flights/validate_route.php,get_conn_gis
api/ctp/flights/validate_route.php,get_conn_tmi
api/ctp/routes/suggest.php,conn_pdo_mysql
api/ctp/routes/suggest.php,get_conn_adl
api/ctp/routes/suggest.php,get_conn_tmi
api/ctp/routes/templates.php,get_conn_tmi
api/ctp/sessions/activate.php,get_conn_tmi
api/ctp/sessions/complete.php,get_conn_tmi
api/ctp/sessions/create.php,get_conn_tmi
api/ctp/sessions/get.php,get_conn_tmi
api/ctp/sessions/list.php,get_conn_tmi
api/ctp/sessions/update.php,get_conn_tmi
api/ctp/stats.php,get_conn_tmi
api/data/cdm/status.php,get_conn_adl
api/data/cdm/status.php,get_conn_tmi
api/data/hibernation_stats.php,conn_pdo_mysql
api/data/plans/configs.php,get_conn_adl
api/data/playbook/analysis.php,get_conn_gis
api/data/playbook/nat_tracks.php,get_conn_tmi
api/data/review/tmr_export.php,conn_pdo_mysql
api/data/review/tmr_ops_plan.php,conn_pdo_mysql
api/data/review/tmr_report.php,conn_pdo_mysql
api/data/review/tmr_staffing.php,conn_pdo_mysql
api/data/review/tmr_tmis.php,conn_pdo_mysql
api/data/review/tmr_tmis.php,get_conn_tmi
api/data/review/tmr_weather.php,conn_pdo_mysql
api/data/sheet/configs.php,get_conn_adl
api/gdt/common.php,get_conn_adl
api/gdt/common.php,get_conn_tmi
api/gdt/demand/hourly.php,get_conn_tmi
api/gdt/flights/list.php,get_conn_tmi
api/gdt/programs/activate.php,get_conn_tmi
api/gdt/programs/active.php,get_conn_tmi
api/gdt/programs/cancel.php,get_conn_tmi
api/gdt/programs/compress.php,get_conn_tmi
api/gdt/programs/create.php,get_conn_tmi
api/gdt/programs/extend.php,get_conn_tmi
api/gdt/programs/fairness.php,get_conn_adl
api/gdt/programs/fairness.php,get_conn_tmi
api/gdt/programs/flight_list.php,get_conn_tmi
api/gdt/programs/get.php,get_conn_tmi
api/gdt/programs/list.php,get_conn_tmi
api/gdt/programs/model.php,get_conn_adl
api/gdt/programs/model.php,get_conn_tmi
api/gdt/programs/publish.php,get_conn_tmi
api/gdt/programs/purge.php,get_conn_tmi
api/gdt/programs/reoptimize.php,get_conn_adl
api/gdt/programs/reoptimize.php,get_conn_tmi
api/gdt/programs/revise.php,get_conn_tmi
api/gdt/programs/simulate.php,get_conn_adl
api/gdt/programs/simulate.php,get_conn_tmi
api/gdt/programs/submit_proposal.php,get_conn_tmi
api/gdt/programs/transition.php,get_conn_tmi
api/gdt/slots/list.php,get_conn_tmi
api/gis/track_density.php,get_conn_gis
api/mgt/comments/post.php,conn_pdo_mysql
api/mgt/config_data/post.php,conn_pdo_mysql
api/mgt/configs/post.php,conn_pdo_mysql
api/mgt/dcc/post.php,conn_pdo_mysql
api/mgt/enroute_constraints/post.php,conn_pdo_mysql
api/mgt/enroute_initializations/post.php,conn_pdo_mysql
api/mgt/enroute_initializations/times/create.php,conn_pdo_mysql
api/mgt/enroute_initializations/times/post.php,conn_pdo_mysql
api/mgt/enroute_planning/post.php,conn_pdo_mysql
api/mgt/enroute_staffing/post.php,conn_pdo_mysql
api/mgt/event_data/post.php,conn_pdo_mysql
api/mgt/forecast/post.php,conn_pdo_mysql
api/mgt/goals/post.php,conn_pdo_mysql
api/mgt/group_flights/post.php,conn_pdo_mysql
api/mgt/historical/post.php,conn_pdo_mysql
api/mgt/personnel/post.php,conn_pdo_mysql
api/mgt/perti/post.php,conn_pdo_mysql
api/mgt/playbook/save.php,get_conn_gis
api/mgt/schedule/post.php,conn_pdo_mysql
api/mgt/scores/post.php,conn_pdo_mysql
api/mgt/terminal_constraints/post.php,conn_pdo_mysql
api/mgt/terminal_init_times/create.php,conn_pdo_mysql
api/mgt/terminal_inits/post.php,conn_pdo_mysql
api/mgt/terminal_inits/times/create.php,conn_pdo_mysql
api/mgt/terminal_inits/times/post.php,conn_pdo_mysql
api/mgt/terminal_planning/post.php,conn_pdo_mysql
api/mgt/terminal_staffing/post.php,conn_pdo_mysql
api/mgt/tmi/ground_stops/post.php,conn_pdo_mysql
api/nod/fea.php,get_conn_adl
api/nod/fea.php,get_conn_tmi
api/nod/flows/configs.php,get_conn_adl
api/nod/flows/elements.php,get_conn_adl
api/nod/flows/gates.php,get_conn_adl
api/nod/flows/suggestions.php,get_conn_adl
api/nod/flows/suggestions.php,get_conn_ref
api/nod/tmi_active.php,get_conn_adl
api/nod/tmi_active.php,get_conn_tmi
api/swim/v1/cdm/airport-status.php,get_conn_adl
api/swim/v1/cdm/airport-status.php,get_conn_tmi
api/swim/v1/cdm/compliance.php,get_conn_adl
api/swim/v1/cdm/compliance.php,get_conn_tmi
api/swim/v1/cdm/metrics.php,get_conn_adl
api/swim/v1/cdm/metrics.php,get_conn_tmi
api/swim/v1/cdm/readiness.php,get_conn_adl
api/swim/v1/cdm/readiness.php,get_conn_tmi
api/swim/v1/cdm/status.php,get_conn_adl
api/swim/v1/cdm/status.php,get_conn_tmi
api/swim/v1/playbook/plays.php,get_conn_swim
api/swim/v1/reference/taxi-times.php,get_conn_adl
api/swim/v1/routes/cdrs.php,get_conn_ref
api/swim/v1/routes/cdrs.php,get_conn_swim
database/Migrate.php,conn_pdo_mysql
load/connect.php,conn_pdo_mysql
load/connect.php,get_conn_adl
load/connect.php,get_conn_gis
load/connect.php,get_conn_ref
load/connect.php,get_conn_swim
load/connect.php,get_conn_tmi
load/services/EDCTDelivery.php,conn_pdo_mysql
load/services/GISService.php,get_conn_gis
scripts/backfill/hibernation_recovery.php,get_conn_adl
scripts/backfill/hibernation_recovery.php,get_conn_swim
scripts/cdm_daemon.php,get_conn_adl
scripts/cdm_daemon.php,get_conn_tmi
scripts/deploy_sp_optimizations.php,get_conn_adl
scripts/ecfmp_poll_daemon.php,get_conn_tmi
scripts/indexer/run_indexer.php,conn_pdo_mysql
scripts/indexer/run_indexer.php,get_conn_adl
scripts/indexer/run_indexer.php,get_conn_gis
scripts/indexer/run_indexer.php,get_conn_ref
scripts/indexer/run_indexer.php,get_conn_tmi
scripts/playbook/export_playbook.php,conn_pdo_mysql
scripts/playbook/recompute_traversed.php,get_conn_gis
scripts/refdata_sync_daemon.php,conn_pdo_mysql
scripts/refdata_sync_daemon.php,get_conn_adl
scripts/refdata_sync_daemon.php,get_conn_ref
scripts/swim_refdata_sync.php,conn_pdo_mysql
scripts/swim_refdata_sync.php,get_conn_ref
scripts/swim_refdata_sync.php,get_conn_swim
scripts/vnas_controller_poll.php,get_conn_swim
scripts/zone_daemon.php,get_conn_adl
status.php,get_conn_gis
swim-keys.php,get_conn_swim
