AA,47.00905216,-96.8151835
AAA,40.16011667,-89.33801561
AAT,41.48335388,-120.56154166
AB,45.38610597,-98.32851091
ABG,32.58549539,-95.11311944
ABI,32.48133058,-99.86345369
ABQ,35.04379558,-106.81631191
ABR,45.41735667,-98.36871961
ACE,59.64133444,-151.5002738
ACH,35.11170611,-105.0399289
ACK,41.28188728,-70.02671028
ACO,41.10790311,-81.20151892
ACT,31.66223103,-97.26901383
ACV,40.98144272,-124.1083168
ACY,39.45587481,-74.57631472
ADG,41.86998583,-84.07748078
ADK,51.87187647,-176.6759875
ADM,34.21158619,-97.16822803
ADW,38.80721944,-76.86625556
AE,35.21740108,-106.7128004
AEL,43.681735,-93.37075511
AEX,31.25673164,-92.50097242
AG,33.28688547,-81.94685314
AGC,40.27864386,-80.04085469
AGJ,31.1855045,-98.14185786
AGZ,43.06339128,-98.29316833
AHC,40.26786289,-120.1519654
AHN,33.94759358,-83.32475878
AHQ,41.23900138,-96.59866061
AI,40.0695273,-85.51068694
AIA,42.05563094,-102.8044436
AIK,33.6518005,-81.67697219
AIR,40.01702408,-80.81722894
AJA,13.45352656,144.7369334
AK,41.06973336,-81.38736764
AKN,58.72471258,-156.7523468
AKO,40.15555508,-103.1797147
AKQ,36.98281878,-77.00097261
AKW,55.56862103,-133.0813959
AL,46.17556583,-118.1963593
ALB,42.74728047,-73.80318397
ALD,33.01249422,-81.29223222
ALI,27.7397995,-98.02134289
ALJ,60.47982222,-146.5874306
ALO,42.55649656,-92.39892392
ALP,42.23869656,-76.76404975
ALS,37.34915894,-105.8155327
ALW,46.08697675,-118.2925353
AM,35.14646494,-101.8055469
AMG,31.536555,-82.50808881
AML,38.93459389,-77.46670236
AN,33.53433844,-85.93127041
ANC,61.16671261,-149.9944991
ANI,61.59015667,-159.5978927
ANN,55.06040861,-131.5783994
ANU,17.12588056,-61.80016667
ANW,42.56911389,-99.98966111
ANX,39.09542389,-94.12883472
ANY,37.15898203,-98.17077364
AP,44.96079108,-83.55993533
APA,39.57514111,-104.8451753
APE,40.15106272,-82.58830136
APN,45.08277864,-83.5570035
AQ,44.21594778,-88.39893903
AQE,35.70689011,-77.37187453
ARD,40.25334247,-74.90761239
ARG,36.11001992,-90.95369331
ARH,31.58558136,-110.3389843
ART,43.95213167,-76.06462686
ASP,44.44912814,-83.39428336
AST,46.20843611,-123.96542555
AT,39.84693708,-84.33492308
ATA,33.10420219,-94.19006172
ATR,38.80981022,-75.21132236
ATY,44.97968639,-97.14172236
AU,44.41091939,-69.86066622
AUG,44.32002036,-69.79656431
AUR,30.19852061,-93.42064031
AVE,35.64697556,-119.9786056
AW,48.07611997,-122.1539116
AWK,19.28658056,166.6273333
AXC,39.73752147,-88.8564315
AXN,45.95838825,-95.23263483
AY,31.32580664,-82.3977785
AYS,31.26942528,-82.55644556
AZ,42.13116328,-85.52974736
AZN,39.88381844,-94.90815189
AZO,42.23698592,-85.55315175
AZQ,37.39125422,-83.26300808
BA,39.32199339,-85.81859958
BAB,39.13479436,-121.4407558
BAD,32.50333889,-93.66776944
BAE,43.11685325,-88.28434406
BAF,42.16195908,-72.7161995
BAL,39.17106342,-76.66125625
BAM,40.56908061,-116.9222563
BAR,36.15345944,-81.87983528
BCE,37.68918744,-112.3038962
BDA,32.36438611,-64.6895725
BDE,48.72279664,-94.60728778
BDF,41.15973139,-89.58787306
BDH,45.11767053,-95.12706136
BDL,41.93254722,-72.687075
BDR,41.16070566,-73.1244863
BED,42.46527222,-71.28898056
BER,51.87123056,-176.6741111
BET,60.784837,-161.8243298
BFD,41.78638658,-78.61934856
BFF,41.894163,-103.4820316
BFI,47.52918806,-122.3042814
BFL,35.42495833,-119.0467694
BFM,30.61272106,-88.05549347
BFV,35.23694444,-99.20616667
BGD,35.80707253,-101.3821526
BGI,13.07504722,-59.48383056
BGQ,61.5694325,-149.9671591
BGR,44.84179497,-68.87396533
BGS,32.38558833,-101.4836828
BH,33.51152342,-86.84559206
BHM,33.56321528,-86.75548944
BIB,38.92034533,-88.48180464
BIE,40.30142758,-96.75464519
BIG,64.00446111,-145.7172472
BIH,37.37694992,-118.3665264
BIL,45.80855919,-108.6246476
BIS,46.76176119,-100.6654071
BIX,30.40708611,-88.92971389
BJA,44.47693647,-73.15675681
BJB,43.42198092,-88.12518803
BJC,39.91304025,-105.1389858
BK,44.35452667,-96.94681528
BKA,56.85940944,-135.5513122
BKE,44.8406,-117.8078708
BKF,39.70738611,-104.7523861
BKT,37.12742819,-78.04454342
BKW,37.78029967,-81.1234555
BLD,35.99579022,-114.8635789
BLF,37.30644031,-81.19426936
BLH,33.59606464,-114.7612734
BMI,40.48080469,-88.93126642
BML,44.63353333,-71.18619167
BMW,33.93535853,-83.58948042
BNA,36.13696036,-86.68477116
BNZ,30.06114642,-92.12327992
BO,36.39864125,-82.49626894
BOI,43.55281141,-116.19212561
BOS,42.35744991,-70.98954838
BOY,43.46315194,-108.2997122
BPI,42.57944744,-110.1092139
BPT,29.94605419,-94.01622092
BQN,18.49840327,-67.10842158
BQP,32.7546845,-91.88343386
BQS,39.63055556,-93.87527778
BQU,40.75967708,-115.7613768
BQZ,40.4637635,-106.8723015
BR,46.4566203,-94.02243002
BRA,35.27275169,-82.47103706
BRG,34.64972222,-106.8330556
BRK,38.94451003,-104.6334663
BRL,40.72345583,-90.92588972
BRO,25.92407217,-97.37526831
BRV,38.33625733,-77.35286553
BRW,71.27342631,-156.7881178
BRX,29.20856972,-100.6239731
BSR,36.18129556,-121.6421122
BSV,40.74070639,-81.43211711
BT,30.58291925,-91.21107913
BTG,45.74781103,-122.5915366
BTT,66.90500842,-151.5358829
BTV,44.39710472,-73.18263472
BTY,36.80059683,-116.7476408
BU,43.00031536,-78.65077272
BUA,45.55220194,-103.4563706
BUD,40.61659739,-83.06382639
BUF,42.9289915,-78.64634947
BUM,38.27208011,-94.48826111
BUP,44.69771839,-69.35859228
BUU,42.68932378,-88.30177906
BVG,31.33939167,-85.98194167
BVL,40.7260975,-113.7574172
BVO,36.83433472,-96.01843097
BVT,40.55617161,-87.06937447
BVY,42.61059389,-70.94327361
BW,36.88003703,-86.48159789
BWD,31.89258253,-98.95746019
BWG,36.96444444,-86.42333333
BWS,32.82126111,-106.0131528
BWZ,40.79843278,-74.8218325
BXK,33.45345611,-112.8245917
BXR,45.82127778,-92.36641667
BYI,42.58023936,-113.8658576
BYP,33.53748611,-96.23409444
BYT,41.93056166,-72.69987277
BZA,32.7681075,-114.6029464
BZJ,40.43563819,-76.55302219
BZM,35.86885389,-81.24052889
BZN,45.78389892,-111.1554549
BZQ,32.41537355,-81.66403297
CA,38.14492778,-97.27614444
CAE,33.85724986,-81.05390281
CAK,40.91627917,-81.44205889
CAM,42.99428883,-73.34401892
CBM,33.64153333,-88.43857222
CBU,45.588631,-122.6112524
CCC,40.92961883,-72.79885825
CCR,38.04492031,-122.0452073
CCT,37.38242172,-87.26370347
CCV,37.34753889,-75.99765278
CD,42.75518017,-103.1746585
CDB,55.26729461,-162.7739963
CDO,18.43415833,-69.66734167
CDS,34.36906503,-100.2890276
CE,30.85285317,-86.53660964
CEC,41.77957883,-124.2408471
CEF,42.19754433,-72.52631494
CEP,33.48988586,-105.4043378
CEW,30.82617375,-86.67914328
CEZ,37.38984978,-108.5617515
CFB,42.15749036,-76.13647161
CFJ,39.98094514,-86.91572625
CFX,40.23674372,-81.01329447
CFY,33.85568353,-79.76593153
CG,37.25334756,-89.70045528
CGG,44.68141817,-84.72859689
CGI,37.22753908,-89.57241108
CGL,58.35932547,-134.699451
CGT,41.51000658,-87.57154611
CH,32.97632419,-80.09745494
CHE,40.52008167,-107.304901
CHS,32.89431919,-80.03781427
CI,46.33252928,-84.54246672
CID,41.88754497,-91.78574786
CIM,36.49139694,-104.8719997
CIP,41.14629333,-79.45797386
CJ,39.79439553,-89.59222483
CK,36.52705833,-87.38675861
CKB,39.25321781,-80.26786161
CKH,21.26511222,-157.7029814
CKV,36.6219855,-87.41265336
CKW,41.75570944,-107.5819822
CL,30.49377222,-96.33779494
CLE,41.41895558,-81.85007147
CLL,30.60500172,-96.42068075
CLT,35.19028866,-80.95175344
CM,39.96618756,-88.18239253
CMA,34.21252069,-119.0943549
CME,33.33747867,-104.6212455
CMI,40.03453125,-88.2760755
CMJ,55.34217342,-131.6907652
CMK,41.28008942,-73.58132642
CMX,47.17026167,-88.485393
CNG,37.00860928,-88.83691278
CNH,43.36918192,-72.37118317
CNM,32.25661339,-104.2260376
CNP,41.07665556,-102.4588822
CNT,38.66833333,-115.5988889
CNU,37.62615903,-95.59347025
CNX,34.36701528,-105.6780047
CO,38.6944033,-104.71634602
COD,44.62045153,-108.9649173
COE,47.77369722,-116.8205883
COF,28.23768333,-80.61175833
COL,40.31162953,-74.15972847
CON,43.219787,-71.575453
COR,36.06605556,-119.5309444
COS,38.81638333,-104.6991389
COT,28.46201767,-99.11854503
COU,38.81082333,-92.21827389
COY,17.73444444,-64.70072222
CP,38.51988497,-90.05927033
CPN,46.032,-112.7475278
CPZ,28.87843739,-99.99438172
CQN,35.16653883,-85.15737197
CQX,41.69193389,-69.9877475
CQY,32.18572222,-96.21810278
CRE,33.81384094,-78.72452211
CRG,30.33887919,-81.50992733
CRI,40.61247222,-73.89444444
CRL,42.04802656,-83.45757292
CRN,61.10175,-155.5686472
CRP,27.90376592,-97.44488133
CS,32.45195833,-85.04193917
CSG,32.61525378,-85.01763
CSI,29.92235447,-99.21448569
CSN,38.64120214,-77.86549942
CSS,39.60089025,-83.39159236
CSX,38.75274442,-90.36095961
CSZ,32.06349639,-95.95762083
CTB,48.56494853,-112.3432544
CTF,34.65049806,-80.27491636
CTR,42.29131861,-72.94939417
CTW,40.22920861,-81.47647667
CTY,29.59900069,-83.048792
CTZ,34.97509483,-78.36193914
CUN,64.83858403,-147.4950784
CUS,31.8191005,-107.5744938
CUZ,41.4839755,-99.68904775
CV,32.26679152,-104.33851213
CVA,41.70854842,-90.48331367
CVC,33.631225,-83.84835
CVE,32.89031033,-96.90396692
CVG,39.01598078,-84.70334633
CVI,36.37291389,-76.87154472
CVO,44.49956536,-123.2936601
CVS,34.38058608,-103.3224241
CVV,48.24469444,-122.7244167
CW,30.30663672,-93.19619697
CWK,30.37855,-97.52984722
CX,30.43207958,-95.47626608
CXR,41.51692792,-81.16318589
CYN,39.81733792,-74.43162572
CYR,30.88816917,-84.15933081
CYS,41.21096703,-104.772915
CYY,26.15342747,-81.77810319
CZF,61.77601433,-166.04343716
CZI,43.99972778,-106.4357306
CZJ,31.83287664,-94.15378392
CZQ,36.88432222,-119.8151444
DAG,34.96245694,-116.5781664
DAL,32.855175,-96.8472
DAS,30.18971172,-94.64498444
DAY,39.89807881,-84.21523203
DBL,39.43934528,-106.8946803
DBN,32.56346014,-82.83004478
DBQ,42.40146908,-90.709078
DBS,44.08885333,-112.2093433
DCA,38.85945281,-77.03643611
DCM,34.78575333,-81.20082936
DCU,34.64831456,-86.93951275
DD,39.74297014,-83.02027403
DDC,37.85056075,-100.0056373
DDD,41.36629944,-91.14927925
DDP,18.46827861,-66.41239222
DDY,43.09085639,-106.2770244
DE,39.79045072,-88.95388814
DEC,39.87637133,-88.76467867
DEL,28.21415556,-105.4485667
DEN,39.81251405,-104.66074008
DET,42.40503722,-83.01630944
DGD,37.02346917,-92.87692278
DGG,68.03248611,-162.9041694
DHK,29.53695,-98.26781389
DHP,25.79996275,-80.34903508
DHT,36.09145653,-102.5446416
DIK,46.86003886,-102.7734998
DJB,41.35806497,-82.16196869
DJN,64.02345639,-145.6868267
DKK,42.4904,-79.27410278
DL,46.84571897,-92.35493739
DLF,29.36089167,-100.771725
DLG,58.99423375,-158.5522196
DLH,46.80216381,-92.20286919
DLL,43.55083197,-89.76362233
DLN,45.24857392,-112.5471298
DMA,32.15991583,-110.8809094
DMN,32.27555142,-107.6055013
DN,40.28959036,-87.52994392
DNI,33.82649911,-96.66889292
DNJ,44.76711258,-116.2062658
DNV,40.29376628,-87.55726017
DNW,43.82827806,-110.3354744
DNY,42.17828056,-74.95694056
DOB,33.91465278,-84.50731111
DOV,39.1324,-75.46740833
DPA,41.89037147,-88.35017747
DPK,40.79174961,-73.30365769
DPR,45.07817528,-101.7150714
DPY,47.96773886,-117.4263288
DQN,40.01644431,-84.39689811
DQO,39.67814014,-75.60708558
DR,29.44269444,-100.992275
DRK,34.70255225,-112.4803416
DRO,37.15325975,-107.7496259
DSD,44.25276078,-121.3035523
DSM,41.4376248,-93.64855794
DT,33.28310142,-97.19626219
DTA,39.30226217,-112.5055594
DTL,46.82552372,-95.88732269
DTW,42.23166667,-83.35833333
DUG,31.47267361,-109.6020536
DUT,53.90514603,-166.5478678
DVC,37.80873972,-108.9312739
DVK,37.57642278,-84.76403333
DVL,48.11521769,-98.91250839
DVN,41.61221389,-90.58496389
DVV,39.89468942,-104.624335
DWG,30.47823611,-86.52086667
DWN,45.0874625,-94.45384972
DXO,42.21313653,-83.36666267
DYB,33.06145781,-80.27718622
DYO,43.706144,-72.95660342
DYR,36.01854967,-89.31769164
DYS,32.41851111,-99.85705
DYY,37.6117663,-118.00816888
EAR,40.72560386,-99.00512536
EAT,47.39969239,-120.2108274
EAU,44.89767003,-91.47853497
ECB,38.1583625,-82.91005472
ECG,36.25757308,-76.17559775
ECH,55.35678161,-131.7092317
ECK,43.25588556,-82.71792944
ECS,43.88112803,-104.307771
EDF,61.25500833,-149.769175
EDN,31.29637444,-85.90273056
EDW,34.98236278,-117.7326083
EEA,39.47986944,-115.99185555
EED,34.76600417,-114.4741042
EEF,58.17096639,-135.2579175
EEN,42.79427778,-72.29177778
EFD,29.60595833,-95.15965225
EHF,35.48455436,-119.0972936
EHK,37.78733,-113.0682306
EHM,58.65602222,-162.0737444
EIC,32.77136472,-93.80992917
EIL,64.65379722,-147.0939472
EKN,38.91443583,-80.0992725
EKR,40.06744189,-107.9249496
EL,33.28606897,-92.72814963
ELA,29.66247942,-96.31712253
ELB,33.67603567,-117.7310913
ELD,33.25615381,-92.74394775
ELF,55.29614947,-162.7892405
ELN,47.02437419,-120.4584136
ELO,47.82189961,-91.83014033
ELP,31.81591027,-106.28188283
ELW,34.41918617,-82.78468372
ELX,42.14441236,-86.12270578
ELY,39.29812589,-114.8483048
ELZ,42.08964831,-77.99955922
EMG,32.40040556,-93.59514722
EMI,39.49500739,-76.97857197
EMP,38.29114303,-96.13811692
EMR,33.46280694,-81.99685636
ENA,60.61470211,-151.1952427
END,36.34496667,-97.91835556
ENE,43.42567214,-70.61352547
ENI,39.05321675,-123.2743267
ENL,38.41999869,-89.15899781
ENM,62.78458847,-164.487534
ENN,64.59000692,-149.0728578
ENO,39.23164669,-75.51596994
ENW,42.599077,-87.93167167
EOE,34.31103767,-81.63632858
EON,41.26963236,-87.79105347
EOS,36.84244842,-94.43570081
EPH,47.37791889,-119.4240039
EQQ,33.25694453,-84.71327
ERI,42.01739692,-80.29269817
ES,45.72273003,-87.22483744
ESC,45.72263528,-87.08959828
ESG,43.22022089,-70.82834794
ESL,39.22549278,-78.9895
ETG,41.21494972,-78.14275639
ETL,38.04025222,-108.2585744
ETX,40.58103903,-75.68403014
EUF,31.95025078,-85.1304795
EUG,44.12089842,-123.2228313
EVW,41.27248775,-111.0467665
EW,35.02162422,-77.07946183
EWA,32.36766667,-88.45716667
EWC,40.82493267,-80.21154556
EWM,31.95178611,-106.2724583
EWN,35.07314139,-77.04506581
EWO,37.63181139,-85.6758775
EWR,40.67434444,-74.17796666
EYW,24.58587828,-81.80047633
EZF,38.26634794,-77.45050914
EZM,32.13169206,-83.15394247
FAH,43.7687865,-87.84876864
FAI,64.80007047,-148.0119759
FAK,37.52850944,-77.82821917
FAM,37.67346147,-90.23405964
FAR,46.75333692,-96.85131897
FAY,34.98555122,-78.87506386
FBC,40.95533383,-83.75602461
FBR,41.37843997,-110.4240612
FBY,40.17667264,-97.16582442
FCA,48.21410244,-114.1758907
FCM,44.82535022,-93.44268831
FCS,38.68069853,-104.7569203
FDK,39.41223608,-77.37511608
FDV,64.49474644,-165.3150973
FF,46.21981633,-96.05768464
FFC,33.30091939,-84.48642669
FFM,46.28935194,-96.15681111
FFO,39.81897778,-84.05548056
FFT,38.18242303,-84.90862317
FFU,40.27489461,-111.9405315
FGT,44.63094403,-93.18205175
FHR,48.51213586,-123.0238623
FHU,31.58965606,-110.3549425
FIM,34.35669361,-118.8812911
FIQ,35.71021386,-81.67135411
FJC,40.72668728,-75.45474519
FJS,41.44966917,-122.8064475
FK,36.73700175,-87.41385142
FKL,41.43849833,-79.85670594
FLG,35.14719783,-111.6741628
FLL,26.07393981,-80.16644225
FLM,38.64944164,-84.31060158
FLO,34.23296814,-79.657161
FLP,36.29964628,-92.45838894
FLW,35.09308444,-119.8655786
FM,26.51612939,-81.95026975
FMG,39.53127736,-119.6560759
FMZ,40.58994578,-97.56805075
FND,39.28735172,-76.77701756
FNT,42.96677214,-83.74696756
FNX,43.63775556,-94.41319722
FO,42.514493,-94.30557825
FOD,42.61112497,-94.29481614
FOE,38.94737016,-95.66117905
FOF,14.59075,-61.02280556
FOK,40.83777506,-72.631841
FOT,40.67127158,-124.2345363
FOW,44.20444444,-93.3705
FQ,43.57365894,-94.31798381
FQF,39.69013889,-104.6209722
FQM,41.3385585,-76.77486658
FR,40.77652778,-73.48241667
FRA,37.10442083,-119.5954456
FRI,38.97016411,-96.86117228
FS,43.49395692,-96.82905522
FSD,43.64948347,-96.78111678
FSI,34.78137361,-98.40230444
FSM,35.38840764,-94.27152422
FST,30.95210706,-102.9757114
FT,32.89301494,-97.37338406
FTI,35.6575495,-105.1355964
FTK,37.90721692,-85.97256364
FTW,32.82000278,-97.36413889
FTZ,38.69433369,-90.97126933
FUZ,32.88944864,-97.17942608
FVI,41.01616666,-121.43341666
FVQ,33.13017222,-117.2759
FWA,40.97906431,-85.18805811
FWC,38.38017647,-88.40934889
FXU,31.11146139,-93.21917472
FYU,66.57425378,-145.2766571
FZ,38.67736014,-90.54732614
FZT,32.07460417,-95.53079056
GAD,33.97640306,-86.08355694
GAL,64.73814008,-156.7771316
GAM,63.7818755,-171.7367782
GB,42.87388811,-78.81645197
GBG,40.93734333,-90.43446361
GBN,32.95625833,-112.6742717
GC,44.27090325,-105.5222346
GCC,44.34777292,-105.5434859
GCK,37.91900372,-100.7250086
GCN,35.96034028,-112.1460463
GCO,41.99408889,-87.90232778
GCR,60.49875625,-145.4744672
GCV,31.09795972,-88.48612889
GDE,30.07047208,-94.21103544
GDM,42.54592083,-72.05818822
GDV,47.13337222,-104.8047389
GEE,42.83439639,-77.73275083
GEF,30.55134167,-83.78313278
GEG,47.56494583,-117.62688583
GEP,45.14568489,-93.37318094
GF,43.25501361,-73.60511111
GFK,47.95483336,-97.18537044
GFS,35.13114528,-115.1764403
GGF,40.87094056,-101.73045
GGG,32.41775586,-94.7531945
GGT,42.78895583,-75.82674722
GGW,48.21530436,-106.6254192
GHJ,35.19147089,-81.15785553
GHM,35.83392175,-87.4517625
GIJ,41.76861125,-86.31845189
GKN,62.15375306,-145.4473649
GL,45.01465197,-84.80796494
GLD,39.38786783,-101.6922966
GLH,33.52353083,-90.9829375
GLJ,34.95237353,-120.5214809
GLL,40.50386561,-104.5530132
GLR,45.01248583,-84.70427872
GM,34.78016758,-82.3497875
GMA,44.36234364,-71.6859055
GMN,34.80402861,-118.8613603
GNL,31.58147664,-96.54908936
GNP,35.92090033,-95.96865142
GNV,29.69211469,-82.27297244
GOG,35.89425,-115.4960833
GOI,37.95873925,-85.97667114
GON,41.33040205,-72.05198461
GP,30.48561889,-89.16231594
GPQ,33.56579436,-85.13105314
GPT,30.40683133,-89.07678122
GPZ,47.16344364,-93.4889325
GQE,35.34702972,-90.47815889
GQO,34.96127361,-85.15336903
GR,42.89564205,-85.37864311
GRB,44.55516003,-88.19485719
GRD,34.25156611,-82.15414889
GRI,40.98402778,-98.31477778
GRK,31.03288647,-97.81379103
GRN,42.80108214,-102.179394
GRO,14.17161522,145.239999
GRV,39.63503111,-79.05052778
GSB,35.33519789,-77.97131581
GSH,41.52515517,-86.02795322
GSO,36.045693,-79.976371
GSU,33.63356388,-84.41218888
GTF,47.44998008,-111.4121648
GTH,33.77827722,-100.3361964
GTK,21.44065822,-71.13436617
GTN,38.92989917,-77.12421569
GTP,30.95755522,-83.82667147
GUP,35.47599917,-108.8726117
GUS,40.64490556,-86.15171389
GUY,36.70536619,-101.5050952
GVB,30.88161367,-89.86211736
GVE,38.01359939,-78.15302658
GVO,34.53132017,-120.0910883
GVR,38.75833889,-85.47064444
GW,41.30828633,-84.94408136
GXU,40.009475,-74.59651111
GYG,44.74995714,-84.8282205
GYZ,42.23992236,-104.7142826
GZG,36.82510678,-82.07897914
HAB,34.19876964,-88.01161836
HAH,31.6903025,-91.29310008
HAR,40.30223972,-77.06955889
HAU,46.56890017,-111.7580637
HB,35.97811867,-79.58484094
